RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1614037657540	l	3.3.1
REQUEST	40		LoadNewComputerPage	1614037682517	1614037682686	OK	 
REQUEST	144		LoadHomePage	1614037682033	1614037682714	OK	 
USER	MyComputerJourney	158	START	1614037682732	1614037682732
REQUEST	41		LoadNewComputerPage	1614037682595	1614037682763	OK	 
USER	MyComputerJourney	159	START	1614037682774	1614037682774
REQUEST	145		LoadHomePage	1614037682083	1614037682790	OK	 
REQUEST	42		LoadNewComputerPage	1614037682634	1614037682812	OK	 
REQUEST	146		LoadHomePage	1614037682135	1614037682817	OK	 
USER	MyComputerJourney	160	START	1614037682824	1614037682824
REQUEST	43		LoadNewComputerPage	1614037682682	1614037682855	OK	 
REQUEST	147		LoadHomePage	1614037682182	1614037682890	OK	 
USER	MyComputerJourney	161	START	1614037682889	1614037682889
REQUEST	148		LoadHomePage	1614037682233	1614037682908	OK	 
REQUEST	44		LoadNewComputerPage	1614037682732	1614037682909	OK	 
USER	MyComputerJourney	162	START	1614037682924	1614037682924
REQUEST	149		LoadHomePage	1614037682281	1614037682951	OK	 
REQUEST	45		LoadNewComputerPage	1614037682789	1614037682962	OK	 
REQUEST	46		LoadNewComputerPage	1614037682820	1614037682988	OK	 
USER	MyComputerJourney	163	START	1614037682989	1614037682989
USER	MyComputerJourney	164	START	1614037683024	1614037683024
REQUEST	150		LoadHomePage	1614037682348	1614037683026	OK	 
REQUEST	151		LoadHomePage	1614037682378	1614037683053	OK	 
REQUEST	47		LoadNewComputerPage	1614037682890	1614037683063	OK	 
USER	MyComputerJourney	165	START	1614037683077	1614037683077
REQUEST	48		LoadNewComputerPage	1614037682921	1614037683094	OK	 
REQUEST	49		LoadNewComputerPage	1614037682936	1614037683120	OK	 
REQUEST	152		LoadHomePage	1614037682432	1614037683120	OK	 
USER	MyComputerJourney	166	START	1614037683130	1614037683130
REQUEST	153		LoadHomePage	1614037682482	1614037683153	OK	 
USER	MyComputerJourney	167	START	1614037683190	1614037683190
REQUEST	50		LoadNewComputerPage	1614037683021	1614037683195	OK	 
REQUEST	154		LoadHomePage	1614037682534	1614037683210	OK	 
REQUEST	51		LoadNewComputerPage	1614037683052	1614037683223	OK	 
USER	MyComputerJourney	168	START	1614037683224	1614037683224
REQUEST	155		LoadHomePage	1614037682575	1614037683239	OK	 
REQUEST	52		LoadNewComputerPage	1614037683099	1614037683271	OK	 
USER	MyComputerJourney	169	START	1614037683274	1614037683274
REQUEST	53		LoadNewComputerPage	1614037683146	1614037683320	OK	 
REQUEST	156		LoadHomePage	1614037682634	1614037683320	OK	 
USER	MyComputerJourney	170	START	1614037683324	1614037683324
REQUEST	157		LoadHomePage	1614037682682	1614037683356	OK	 
REQUEST	54		LoadNewComputerPage	1614037683194	1614037683362	OK	 
USER	MyComputerJourney	171	START	1614037683374	1614037683374
USER	MyComputerJourney	172	START	1614037683425	1614037683425
REQUEST	55		LoadNewComputerPage	1614037683256	1614037683430	OK	 
REQUEST	158		LoadHomePage	1614037682733	1614037683451	OK	 
USER	MyComputerJourney	173	START	1614037683474	1614037683474
REQUEST	159		LoadHomePage	1614037682775	1614037683488	OK	 
REQUEST	160		LoadHomePage	1614037682824	1614037683493	OK	 
REQUEST	56		LoadNewComputerPage	1614037683321	1614037683515	OK	 
USER	MyComputerJourney	174	START	1614037683524	1614037683524
REQUEST	57		LoadNewComputerPage	1614037683337	1614037683531	OK	 
REQUEST	161		LoadHomePage	1614037682891	1614037683572	OK	 
USER	MyComputerJourney	175	START	1614037683574	1614037683574
REQUEST	3		FilterComputer	1614037683407	1614037683581	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037683581
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037683581
USER	MyComputerJourney	3	END	1614037667170	1614037683582
REQUEST	58		LoadNewComputerPage	1614037683440	1614037683609	OK	 
REQUEST	162		LoadHomePage	1614037682924	1614037683611	OK	 
REQUEST	59		LoadNewComputerPage	1614037683457	1614037683623	OK	 
USER	MyComputerJourney	176	START	1614037683626	1614037683626
REQUEST	163		LoadHomePage	1614037682992	1614037683665	OK	 
USER	MyComputerJourney	177	START	1614037683690	1614037683690
REQUEST	60		LoadNewComputerPage	1614037683522	1614037683701	OK	 
REQUEST	164		LoadHomePage	1614037683024	1614037683709	OK	 
REQUEST	61		LoadNewComputerPage	1614037683554	1614037683723	OK	 
USER	MyComputerJourney	178	START	1614037683724	1614037683724
REQUEST	165		LoadHomePage	1614037683079	1614037683751	OK	 
REQUEST	62		LoadNewComputerPage	1614037683606	1614037683773	OK	 
USER	MyComputerJourney	179	START	1614037683791	1614037683791
REQUEST	166		LoadHomePage	1614037683131	1614037683820	OK	 
USER	MyComputerJourney	180	START	1614037683824	1614037683824
REQUEST	63		LoadNewComputerPage	1614037683691	1614037683872	OK	 
USER	MyComputerJourney	181	START	1614037683874	1614037683874
REQUEST	64		LoadNewComputerPage	1614037683707	1614037683880	OK	 
REQUEST	167		LoadHomePage	1614037683192	1614037683891	OK	 
